	en	ru
379	He had no curiosity. 	Ему было все равно. 
380	In fact, sensation and emotion had left him. 	В  сущности, он перестал что-либо чувствовать и волноваться. 
381	He was no longer susceptible to pain. 	Он  уже  не  ощущал  боли. 
382	Stomach and nerves had gone to sleep. 	Желудок и нервы словно дремали. 
383	Yet the life that was in him drove him on. 	Однако жизнь, еще теплившаяся в нем, гнала его вперед. 
384	He was very weary, but it refused to die. It was because it refused to die that he still ate muskeg berries and minnows, drank his hot water, and kept a wary eye on the sick wolf. 	Он очень устал, но жизнь в нем не хотела  гибнуть;  и  потому, что она не хотела гибнуть, человек все еще ел болотные ягоды  и  пескарей, пил кипяток и следил за больным волком, не спуская с него глаз. 
385	He followed the trail of the other man who dragged himself along, and soon came to the end of it—a few fresh-picked bones where the soggy moss was marked by the foot-pads of many wolves. 	Он  шел  следом  другого   человека,   того,   который   тащился   на четвереньках, и скоро увидел конец его пути: обглоданные кости  на  мокром мху, сохранившем следы волчьих лап. 
386	He saw a squat moose-hide sack, mate to his own, which had been torn by sharp teeth. 	Он  увидел  туго  набитый  мешочек  из оленьей кожи - такой же, какой был у него, - разорванный  острыми  зубами. 
387	He picked it up, though its weight was almost too much for his feeble fingers. 	Он поднял этот мешочек,  хотя  его  ослабевшие  пальцы  не  в  силах  были удержать такую тяжесть. 
388	Bill had carried it to the last. 	Билл  не  бросил  его  до  конца. 
389	Ha! ha! 	Ха-ха! 
390	He would have the laugh on Bill. 	Он  еще посмеется над Биллом. 
391	He would survive and carry it to the ship in the shining sea. 	Он останется  жив  и  возьмет  мешочек  на  корабль, который стоит посреди блистающего моря. 
392	His mirth was hoarse and ghastly, like a raven’s croak, and the sick wolf joined him, howling lugubriously. 	Он  засмеялся  хриплым,  страшным смехом, похожим на карканье ворона,  и  больной  волк  вторил  ему,  уныло подвывая. 
393	The man ceased suddenly. 	Человек сразу замолчал. 
394	How could he have the laugh on Bill if that were Bill; if those bones, so pinky-white and clean, were Bill? 	Как же он  будет  смеяться  над  Биллом, если это Билл, если эти бело-розовые, чистые кости - все, что осталось  от Билла? 
395	He turned away. 	Он отвернулся. 
396	Well, Bill had deserted him; but he would not take the gold, nor would he suck Bill’s bones. 	Да, Билл его бросил, но он  не  возьмет  золота  и  не станет сосать кости Билла. 
397	Bill would have, though, had it been the other way around, he mused as he staggered on. 	А  Билл  стал  бы,  будь  Билл  на  его  месте, размышлял он, тащась дальше. 
398	He came to a pool of water. 	Он набрел на маленькое озерко. 
399	Stooping over in quest of minnows, he jerked his head back as though he had been stung. 	И,  наклонившись  над  ним  в  поисках пескарей, отшатнулся, словно ужаленный. 
400	He had caught sight of his reflected face. 	Он увидел свое лицо, отраженное  в воде. 
401	So horrible was it that sensibility awoke long enough to be shocked. 	Это отражение было так страшно, что  пробудило  даже  его  отупевшую душу. 
402	There were three minnows in the pool, which was too large to drain; and after several ineffectual attempts to catch them in the tin bucket he forbore. 	В озерке плавали три пескаря, но  оно  было  велико,  и  он  не  мог вычерпать его до дна; он попробовал  поймать  рыб  ведерком,  но  в  конце концов бросил эту мысль. 
403	He was afraid, because of his great weakness, that he might fall in and drown. 	Он побоялся, что от усталости  упадет  в  воду  и утонет. 
404	It was for this reason that he did not trust himself to the river astride one of the many drift-logs which lined its sand-spits. 	По этой же причине он не отважился плыть по реке на  бревне,  хотя бревен было много на песчаных отмелях. 
405	That day he decreased the distance between him and the ship by three miles; the next day by two—for he was crawling now as Bill had crawled; and the end of the fifth day found the ship still seven miles away and him unable to make even a mile a day. 	В этот день  он  сократил  на  три  мили  расстояние  между  собой  и кораблем,  а  на  следующий  день  -  на  две  мили;  теперь  он  полз  на четвереньках, как Билл. К концу пятого дня до корабля все  еще  оставалось миль семь, а он теперь не мог  пройти  и  мили  в  день. 
406	Still the Indian Summer held on, and he continued to crawl and faint, turn and turn about; and ever the sick wolf coughed and wheezed at his heels. 	Бабье  лето  еще держалось, а он то полз на четвереньках, то падал без  чувств,  и  по  его следам все так же тащился больной волк, кашляя и  чихая. 
407	His knees had become raw meat like his feet, and though he padded them with the shirt from his back it was a red track he left behind him on the moss and stones. 	Колени  человека были содраны до живого мяса, и ступни тоже, и хотя он оторвал  две  полосы от рубашки, чтобы обмотать их, красный  след  тянулся  за  ним  по  мху  и камням. 
408	Once, glancing back, he saw the wolf licking hungrily his bleeding trail, and he saw sharply what his own end might be—unless—unless he could get the wolf. 	Оглянувшись как-то, он увидел, что волк  с  жадностью  лижет  этот кровавый след, и ясно представил себе, каков будет его конец, если он  сам не убьет волка. 
409	Then began as grim a tragedy of existence as was ever played—a sick man that crawled, a sick wolf that limped, two creatures dragging their dying carcasses across the desolation and hunting each other’s lives. 	И тогда  началась  самая  жестокая  борьба,  какая  только бывает в жизни: больной человек на четвереньках и больной волк, ковылявший за ним, - оба они, полумертвые, тащились через пустыню,  подстерегая  друг друга. 
410	Had it been a well wolf, it would not have mattered so much to the man; but the thought of going to feed the maw of that loathsome and all but dead thing was repugnant to him. 	Будь то здоровый волк, человек не стал бы так сопротивляться, но  ему было неприятно думать, что он попадет в утробу этой мерзкой  твари,  почти падали. 
411	He was finicky. 	Ему стало противно. 
412	His mind had begun to wander again, and to be perplexed by hallucinations, while his lucid intervals grew rarer and shorter. 	У него снова начинался бред, сознание туманили галлюцинации, и светлые промежутки становились все короче и реже. 
413	He was awakened once from a faint by a wheeze close in his ear. 	Однажды он пришел в чувство, услышав чье-то дыхание над  самым  ухом. 
414	The wolf leaped lamely back, losing its footing and falling in its weakness. 	Волк отпрыгнул назад, споткнулся и упал от слабости. 
415	It was ludicrous, but he was not amused. 	Это было  смешно,  но человек не улыбнулся. 
416	Nor was he even afraid. 	Он даже не испугался. 
417	He was too far gone for that. 	Страх  уже  не  имел  над  ним власти. 
418	But his mind was for the moment clear, and he lay and considered. 	Но мысли его на минуту прояснились, и  он  лежал,  раздумывая. 
419	The ship was no more than four miles away. 	До корабля оставалось теперь мили четыре, не  больше. 
420	He could see it quite distinctly when he rubbed the mists out of his eyes, and he could see the white sail of a small boat cutting the water of the shining sea. 	Он  видел  его  совсем ясно, протирая затуманенные  глаза,  видел  и  лодочку  с  белым  парусом, рассекавшую сверкающее море. 
421	But he could never crawl those four miles. 	Но ему не одолеть эти  четыре  мили. 
422	He knew that, and was very calm in the knowledge. 	Он  это знал и относился к этому спокойно. 
423	He knew that he could not crawl half a mile. 	Он знал, что не проползет и полумили. 
424	And yet he wanted to live. 	И все-таки ему хотелось жить. 
425	It was unreasonable that he should die after all he had undergone. 	Было бы глупо  умереть  после  всего,  что  он перенес. 
426	Fate asked too much of him. 	Судьба требовала от  него  слишком  много. 
427	And, dying, he declined to die. 	Даже  умирая,  он  не покорялся смерти. 
428	It was stark madness, perhaps, but in the very grip of Death he defied Death and refused to die. 	Возможно, это было чистое безумие, но и в когтях  смерти он бросал ей вызов и боролся с ней. 
429	He closed his eyes and composed himself with infinite precaution. 	Он закрыл глаза  и  бесконечно  бережно  собрал  все  свои  силы. 
430	He steeled himself to keep above the suffocating languor that lapped like a rising tide through all the wells of his being. 	Он крепился, стараясь не поддаваться  чувству  дурноты,  затопившему,  словно прилив,  все  его  существо. 
431	It was very like a sea, this deadly languor, that rose and rose and drowned his consciousness bit by bit. 	Это  чувство  поднималось  волной  и  мутило сознание. 
432	Sometimes he was all but submerged, swimming through oblivion with a faltering stroke; and again, by some strange alchemy of soul, he would find another shred of will and strike out more strongly. 	Временами  он  словно  тонул,  погружаясь  в  забытье  и  силясь выплыть, но каким-то необъяснимым образом остатки воли помогали ему  снова выбраться на поверхность. 
433	Without movement he lay on his back, and he could hear, slowly drawing near and nearer, the wheezing intake and output of the sick wolf’s breath. 	Он лежал на спине неподвижно и  слышал,  как  хриплое  дыхание  волка приближается к нему. 
434	It drew closer, ever closer, through an infinitude of time, and he did not move. 	Оно ощущалось все ближе и ближе, время  тянулось  без конца, но человек не пошевельнулся ни разу. 
435	It was at his ear. 	Вот дыхание слышно  над  самым ухом. 
436	The harsh dry tongue grated like sandpaper against his cheek. 	Жесткий сухой язык царапнул его щеку словно наждачной бумагой. 
437	His hands shot out—or at least he willed them to shoot out. The fingers were curved like talons, but they closed on empty air. 	Руки у него вскинулись кверху - по крайней мере он хотел их вскинуть  -  пальцы согнулись как когти, но схватили пустоту. 
438	Swiftness and certitude require strength, and the man had not this strength. 	Для быстрых и уверенных движений нужна сила, а силы у него не было. 
439	The patience of the wolf was terrible. The man’s patience was no less terrible. 	Волк был терпелив, но и человек был терпелив  не  меньше. 
440	For half a day he lay motionless, fighting off unconsciousness and waiting for the thing that was to feed upon him and upon which he wished to feed. 	Полдня  он лежал неподвижно, борясь с забытьем и сторожа  волка,  который  хотел  его съесть и которого он съел бы сам, если бы  мог. 
441	Sometimes the languid sea rose over him and he dreamed long dreams; but ever through it all, waking and dreaming, he waited for the wheezing breath and the harsh caress of the tongue. 	Время  от  времени  волна забытья захлестывала его, и он видел долгие сны; но все время, и во сне  и наяву, он ждал, что вот-вот услышит хриплое дыхание и его лизнет  шершавый язык. 
442	He did not hear the breath, and he slipped slowly from some dream to the feel of the tongue along his hand. 	Дыхание он  не  услышал,  но  проснулся  оттого,  что  шершавый  язык коснулся его руки. 
443	He waited. 	Человек ждал. 
444	The fangs pressed softly; the pressure increased; the wolf was exerting its last strength in an effort to sink teeth in the food for which it had waited so long. 	Клыки  слегка  сдавили  его  руку,  потом давление стало сильнее - волк из последних сил  старался  вонзить  зубы  в добычу, которую так долго подстерегал. 
445	But the man had waited long, and the lacerated hand closed on the jaw. 	Но и  человек  ждал  долго,  и  его искусанная рука сжала  волчью  челюсть. 
446	Slowly, while the wolf struggled feebly and the hand clutched feebly, the other hand crept across to a grip. 	И  в  то  время  как  волк  слабо отбивался,  а  рука  так  же  слабо  сжимала  его  челюсть,  другая   рука протянулась и схватила волка. 
447	Five minutes later the whole weight of the man’s body was on top of the wolf. 	Еще пять минут,  и  человек  придавил  волка всей своей тяжестью. 
448	The hands had not sufficient strength to choke the wolf, but the face of the man was pressed close to the throat of the wolf and the mouth of the man was full of hair. 	Его рукам не хватало силы, чтобы задушить  волка,  но человек прижался лицом к волчьей шее, и его рот был полон  шерсти. 
449	At the end of half an hour the man was aware of a warm trickle in his throat. 	Прошло полчаса, и человек почувствовал, что в горло ему сочится  теплая  струйка. 
450	It was not pleasant. It was like molten lead being forced into his stomach, and it was forced by his will alone. 	Это было мучительно, словно ему в желудок вливали расплавленный свинец,  и только усилием воли он заставлял себя терпеть. 
451	Later the man rolled over on his back and slept. * * * * * 	Потом  человек  перекатился на спину и уснул. 
452	There were some members of a scientific expedition on the whale-ship Bedford. 	"На китобойном судне ""Бедфорд""  ехало  несколько  человек  из  научной экспедиции. "
453	From the deck they remarked a strange object on the shore. 	С палубы они заметили какое-то странное  существо  на  берегу. 
454	It was moving down the beach toward the water. 	Оно ползло к морю, едва передвигаясь по песку. 
455	They were unable to classify it, and, being scientific men, they climbed into the whale-boat alongside and went ashore to see. 	Ученые не могли понять, что это такое, и, как подобает естествоиспытателям, сели в шлюпку и поплыли  к берегу. 
456	And they saw something that was alive but which could hardly be called a man. 	Они увидели живое существо, но вряд  ли  его  можно  было  назвать человеком. 
457	It was blind, unconscious. It squirmed along the ground like some monstrous worm. 	Оно ничего не слышало, ничего не понимало и корчилось на песке, словно гигантский червяк. 
458	Most of its efforts were ineffectual, but it was persistent, and it writhed and twisted and went ahead perhaps a score of feet an hour. * * * * * 	Ему почти не удавалось продвинуться  вперед,  но оно не отступало и, корчась и  извиваясь,  продвигалось  вперед  шагов  на двадцать в час. 
459	Three weeks afterward the man lay in a bunk on the whale-ship Bedford, and with tears streaming down his wasted cheeks told who he was and what he had undergone. 	"Через три недели, лежа на койке китобойного судна ""Бедфорд"",  человек со слезами рассказывал, кто он  такой  и  что  ему  пришлось  вынести. "
460	He also babbled incoherently of his mother, of sunny Southern California, and a home among the orange groves and flowers. 	Он бормотал что-то бессвязное о своей матери, о Южной  Калифорнии,  о  домике среди цветов и апельсиновых деревьев. 
461	The days were not many after that when he sat at table with the scientific men and ship’s officers. 	Прошло несколько дней, и он уже сидел за столом вместе  с  учеными  и капитаном в кают-компании корабля. 
462	He gloated over the spectacle of so much food, watching it anxiously as it went into the mouths of others. With the disappearance of each mouthful an expression of deep regret came into his eyes. 	Он радовался  изобилию  пищи,  тревожно провожал взглядом каждый  кусок,  исчезавший  в  чужом  рту,  и  его  лицо выражало глубокое сожаление. 
463	He was quite sane, yet he hated those men at mealtime. 	Он был в здравом уме, но чувствовал ненависть ко всем сидевшим за столом. 
464	He was haunted by a fear that the food would not last. 	Его  мучил  страх,  что  еды  не  хватит. 
465	He inquired of the cook, the cabin-boy, the captain, concerning the food stores. 	Он расспрашивал о запасах провизии повара, юнгу,  самого  капитана. 
466	They reassured him countless times; but he could not believe them, and pried cunningly about the lazarette to see with his own eyes. 	Они  без конца успокаивали его, но  он  никому  не  верил  и  тайком  заглядывал  в кладовую, чтобы убедиться собственными глазами. 
467	It was noticed that the man was getting fat. 	Стали замечать, что он поправляется. 
468	He grew stouter with each day. 	Он толстел с каждым днем. 
469	The scientific men shook their heads and theorized. 	Ученые качали головой и строили разные теории. 
470	They limited the man at his meals, but still his girth increased and he swelled prodigiously under his shirt. 	Стали ограничивать его в  еде,  но он все раздавался в ширину, особенно в поясе. 
471	The sailors grinned. 	Матросы посмеивались. 
472	They knew. 	Они знали, в чем дело. 
473	And when the scientific men set a watch on the man, they knew too. 	А  когда  ученые  стали следить за ним, им тоже стало все ясно. 
474	They saw him slouch for’ard after breakfast, and, like a mendicant, with outstretched palm, accost a sailor. 	После завтрака он прокрадывался на бак  и,  словно  нищий,  протягивал  руку  кому-нибудь  из  матросов. 
475	The sailor grinned and passed him a fragment of sea biscuit. 	Тот ухмылялся и подавал ему кусок морского сухаря. 
476	He clutched it avariciously, looked at it as a miser looks at gold, and thrust it into his shirt bosom. 	Человек жадно хватал кусок, глядел на него, как скряга  на  золото,  и  прятал  за  пазуху. 
477	Similar were the donations from other grinning sailors. 	Такие  же подачки, ухмыляясь, давали ему и другие матросы. 
478	The scientific men were discreet. They let him alone. 	Ученые  промолчали  и  оставили  его  во  покое. 
479	But they privily examined his bunk. 	Но  они   осмотрели потихоньку его койку. 
480	It was lined with hardtack; the mattress was stuffed with hardtack; every nook and cranny was filled with hardtack. 	Она была набита сухарями. Матрац был полон  сухарей. Во всех углах были сухари. 
481	Yet he was sane. 	Однако человек был в  здравом  уме. 
482	He was taking precautions against another possible famine—that was all. 	Он  только принимал меры на случай голодовки - вот и все. 
483	He would recover from it, the scientific men said; and he did, ere the Bedford’s anchor rumbled down in San Francisco Bay. 	"Ученые  сказали,  что  это должно пройти. И это действительно прошло, прежде чем ""Бедфорд""  стал  на якорь в гавани Сан-Франциско. "
